Date,DIVISLAB-EQ O,DIVISLAB-EQ H,DIVISLAB-EQ L,DIVISLAB-EQ C,DIVISLAB-EQ V
9/14/2018 3:29:00 PM,1330,1330,1325.1,1328,4005
9/14/2018 3:28:00 PM,1329.55,1330,1329.55,1330,4093
9/14/2018 3:27:00 PM,1330,1331.15,1329.3,1329.55,3571
9/14/2018 3:26:00 PM,1330.95,1331.65,1330,1330,8758
9/14/2018 3:25:00 PM,1330.5,1331,1330,1331,2174
9/14/2018 3:24:00 PM,1330.45,1331.05,1329,1330,5880
9/14/2018 3:23:00 PM,1330,1332,1330,1330.45,9507
9/14/2018 3:22:00 PM,1330.5,1331,1330,1330.1,3217
9/14/2018 3:21:00 PM,1330.85,1331.2,1330.1,1330.5,5627
9/14/2018 3:20:00 PM,1330.85,1331.4,1330.2,1331.2,8706
9/14/2018 3:19:00 PM,1331.7,1331.95,1330.35,1330.75,4259
9/14/2018 3:18:00 PM,1332.25,1332.25,1330.2,1330.95,10439
9/14/2018 3:17:00 PM,1332.95,1333.2,1331.25,1332.25,10902
9/14/2018 3:16:00 PM,1329.5,1334,1329.4,1332.95,21337
9/14/2018 3:15:00 PM,1328.75,1330,1328.5,1328.6,10415
9/14/2018 3:14:00 PM,1328.35,1328.95,1328.1,1328.75,3396
9/14/2018 3:13:00 PM,1327.1,1329.45,1327.1,1328.55,5380
9/14/2018 3:12:00 PM,1328.8,1329.5,1327.05,1327.1,9138
9/14/2018 3:11:00 PM,1329.95,1329.95,1328.55,1328.55,5782
9/14/2018 3:10:00 PM,1330.15,1330.65,1329.65,1329.65,10887
9/14/2018 3:09:00 PM,1332.5,1332.5,1329.7,1330.15,14929
9/14/2018 3:08:00 PM,1330.05,1332.85,1330,1332.65,24737
9/14/2018 3:07:00 PM,1329.5,1331,1329,1330.05,17176
9/14/2018 3:06:00 PM,1330.2,1331,1329.55,1330.4,12977
9/14/2018 3:05:00 PM,1329,1330.6,1328.3,1330.1,14683
9/14/2018 3:04:00 PM,1330,1331,1329,1329,25827
9/14/2018 3:03:00 PM,1328,1330.65,1327.55,1330,35174
9/14/2018 3:02:00 PM,1326,1328.8,1324.5,1328.05,26332
9/14/2018 3:01:00 PM,1323.8,1327.55,1323.8,1325.9,29912
9/14/2018 3:00:00 PM,1320,1323.95,1320,1323.95,2365
9/14/2018 2:59:00 PM,1320.3,1321.6,1320,1320,5018
9/14/2018 2:58:00 PM,1319.85,1320.45,1319.3,1320.3,1756
9/14/2018 2:57:00 PM,1321.8,1321.9,1319.1,1319.85,11044
9/14/2018 2:56:00 PM,1321.9,1324,1321,1321.8,11588
9/14/2018 2:55:00 PM,1317.45,1322.1,1317.45,1321.9,27655
9/14/2018 2:54:00 PM,1317.1,1318.45,1317.05,1318.25,3440
9/14/2018 2:53:00 PM,1315.85,1317.5,1315.3,1317.35,3819
9/14/2018 2:52:00 PM,1316.05,1316.25,1315,1316.25,3761
9/14/2018 2:51:00 PM,1316.1,1316.5,1315.4,1316.05,1733
9/14/2018 2:50:00 PM,1316.75,1316.75,1316.1,1316.1,1378
9/14/2018 2:49:00 PM,1315.95,1316.75,1315.95,1316.75,1050
9/14/2018 2:48:00 PM,1315.3,1316,1315.3,1315.95,440
9/14/2018 2:47:00 PM,1315.3,1316.6,1315.3,1316.25,1115
9/14/2018 2:46:00 PM,1315.3,1316,1315.3,1315.3,791
9/14/2018 2:45:00 PM,1315.1,1315.9,1315.05,1315.3,556
9/14/2018 2:44:00 PM,1315.25,1316.25,1315.1,1315.1,1842
9/14/2018 2:43:00 PM,1316.75,1316.75,1315.2,1315.25,484
9/14/2018 2:42:00 PM,1316.25,1317.5,1316.25,1317.05,559
9/14/2018 2:41:00 PM,1315.85,1316.7,1315.8,1316.35,364
9/14/2018 2:40:00 PM,1315.5,1316.95,1315.5,1315.8,497
9/14/2018 2:39:00 PM,1316,1316.25,1315,1315,3841
9/14/2018 2:38:00 PM,1316.3,1316.4,1316.1,1316.1,566
9/14/2018 2:37:00 PM,1317.15,1317.2,1316.3,1316.3,835
9/14/2018 2:36:00 PM,1317,1318.45,1317,1317.1,9427
9/14/2018 2:35:00 PM,1315.5,1317.55,1315,1317.1,6140
9/14/2018 2:34:00 PM,1313.3,1315.4,1313.3,1315,2180
9/14/2018 2:33:00 PM,1313.6,1313.8,1312.65,1313.3,1854
9/14/2018 2:32:00 PM,1314.3,1314.35,1313.3,1313.6,1183
9/14/2018 2:31:00 PM,1313.3,1314.7,1313.3,1314.35,580
9/14/2018 2:30:00 PM,1314.3,1314.85,1313.45,1313.45,910
9/14/2018 2:29:00 PM,1313.6,1314.3,1313.6,1314.3,3058
9/14/2018 2:28:00 PM,1313.05,1314,1313.05,1313.6,1282
9/14/2018 2:27:00 PM,1312.55,1313.45,1312.55,1313.05,622
9/14/2018 2:26:00 PM,1312.35,1313.4,1312.35,1312.55,564
9/14/2018 2:25:00 PM,1313.95,1313.95,1312.25,1312.45,1228
9/14/2018 2:24:00 PM,1312.85,1314,1312.85,1313.95,1195
9/14/2018 2:23:00 PM,1313.5,1313.55,1313,1313,1081
9/14/2018 2:22:00 PM,1312.25,1314,1312.25,1314,2110
9/14/2018 2:21:00 PM,1312.35,1313,1312.1,1312.25,841
9/14/2018 2:20:00 PM,1313.65,1314,1313,1313.3,1079
9/14/2018 2:19:00 PM,1313.6,1314,1313.6,1313.65,793
9/14/2018 2:18:00 PM,1313.65,1314,1313.3,1313.6,2151
9/14/2018 2:17:00 PM,1313.7,1314,1313.7,1313.95,2914
9/14/2018 2:16:00 PM,1313.65,1314,1313.5,1313.7,1061
9/14/2018 2:15:00 PM,1312.25,1313.8,1312.25,1313.65,1905
9/14/2018 2:14:00 PM,1312.2,1312.45,1312,1312.2,1278
9/14/2018 2:13:00 PM,1312.05,1312.45,1311.45,1312.2,1173
9/14/2018 2:12:00 PM,1312.6,1312.95,1312.05,1312.05,1126
9/14/2018 2:11:00 PM,1312.5,1312.95,1312.5,1312.6,719
9/14/2018 2:10:00 PM,1312.65,1312.65,1312.3,1312.3,1897
9/14/2018 2:09:00 PM,1313.25,1313.25,1312.4,1312.65,790
9/14/2018 2:08:00 PM,1312.1,1313.25,1312.1,1313.25,4517
9/14/2018 2:07:00 PM,1313.25,1313.9,1312.5,1312.75,1454
9/14/2018 2:06:00 PM,1311.55,1314,1311.55,1314,2150
9/14/2018 2:05:00 PM,1312,1313,1310.55,1311.7,5533
9/14/2018 2:04:00 PM,1313.3,1313.3,1312,1312,2614
9/14/2018 2:03:00 PM,1313.15,1314,1313.1,1313.3,1500
9/14/2018 2:02:00 PM,1313.55,1314.65,1313.35,1314,1958
9/14/2018 2:01:00 PM,1313.3,1313.9,1313.3,1313.9,2074
9/14/2018 2:00:00 PM,1313.6,1313.95,1313.2,1313.3,1054
9/14/2018 1:59:00 PM,1313.6,1314,1313.1,1313.6,1577
9/14/2018 1:58:00 PM,1315.35,1316,1313.55,1313.65,2959
9/14/2018 1:57:00 PM,1315.5,1316.25,1315.4,1316,4733
9/14/2018 1:56:00 PM,1315,1316.2,1315,1315.4,4895
9/14/2018 1:55:00 PM,1313.5,1315,1312.85,1315,6193
9/14/2018 1:54:00 PM,1315,1315.1,1312.85,1313.5,1746
9/14/2018 1:53:00 PM,1313.05,1315.85,1313.05,1315,11885
9/14/2018 1:52:00 PM,1312.7,1313.75,1312.7,1313.05,924
9/14/2018 1:51:00 PM,1311.9,1313.95,1311.55,1312.65,6269
9/14/2018 1:50:00 PM,1312.45,1312.85,1311.4,1311.9,2379
9/14/2018 1:49:00 PM,1313.05,1313.95,1312.45,1312.45,3774
9/14/2018 1:48:00 PM,1314,1314.9,1313,1313,4147
9/14/2018 1:47:00 PM,1315,1315,1314,1314,5409
9/14/2018 1:46:00 PM,1315.15,1315.8,1315,1315,1342
9/14/2018 1:45:00 PM,1315.3,1315.7,1315,1315.15,3905
9/14/2018 1:44:00 PM,1315.3,1316,1315.3,1315.3,2659
9/14/2018 1:43:00 PM,1315.15,1315.95,1315.15,1315.3,465
9/14/2018 1:42:00 PM,1315.55,1316.25,1315.25,1315.95,313
9/14/2018 1:41:00 PM,1315.2,1316.4,1315.2,1315.6,686
9/14/2018 1:40:00 PM,1315.85,1315.85,1315.2,1315.5,981
9/14/2018 1:39:00 PM,1317.15,1317.25,1315,1316,8300
9/14/2018 1:38:00 PM,1317,1317.95,1317,1317.25,3774
9/14/2018 1:37:00 PM,1317,1317.4,1316.1,1317.4,1146
9/14/2018 1:36:00 PM,1316.3,1317.8,1315.75,1317.05,1437
9/14/2018 1:35:00 PM,1317.35,1317.55,1316.25,1316.3,1371
9/14/2018 1:34:00 PM,1317.95,1317.95,1317.25,1317.9,2345
9/14/2018 1:33:00 PM,1315.25,1317.95,1315.25,1317.95,6167
9/14/2018 1:32:00 PM,1316.55,1316.55,1315.2,1315.25,537
9/14/2018 1:31:00 PM,1316.25,1316.75,1316,1316.55,1533
9/14/2018 1:30:00 PM,1317,1317,1316.2,1316.25,1382
9/14/2018 1:29:00 PM,1316,1317.45,1316,1316.3,1904
9/14/2018 1:28:00 PM,1316.6,1317.6,1315.65,1316,3176
9/14/2018 1:27:00 PM,1314.3,1316.65,1314.3,1316.6,6048
9/14/2018 1:26:00 PM,1313.75,1314.5,1313.75,1313.75,2065
9/14/2018 1:25:00 PM,1313.95,1314.2,1313.5,1313.75,2541
9/14/2018 1:24:00 PM,1313.85,1314.5,1313.55,1313.95,4054
9/14/2018 1:23:00 PM,1314.95,1314.95,1313.85,1313.85,2684
9/14/2018 1:22:00 PM,1314.5,1315,1314.5,1314.95,1637
9/14/2018 1:21:00 PM,1314,1315,1313.65,1314.5,1194
9/14/2018 1:20:00 PM,1314.95,1315,1313.4,1314,3808
9/14/2018 1:19:00 PM,1315.05,1315.35,1314.25,1314.95,3331
9/14/2018 1:18:00 PM,1315.65,1315.7,1313.1,1315.05,17978
9/14/2018 1:17:00 PM,1315.15,1315.9,1315,1315.65,1851
9/14/2018 1:16:00 PM,1315.25,1316,1315.15,1315.15,2335
9/14/2018 1:15:00 PM,1315.9,1316.2,1315.25,1315.25,2140
9/14/2018 1:14:00 PM,1315.05,1315.9,1315,1315.9,2647
9/14/2018 1:13:00 PM,1316.4,1316.4,1315,1315.05,10229
9/14/2018 1:12:00 PM,1316.5,1316.75,1316.25,1316.35,1623
9/14/2018 1:11:00 PM,1316.5,1317.2,1316.45,1316.5,1982
9/14/2018 1:10:00 PM,1317.75,1318,1316.5,1316.5,1520
9/14/2018 1:09:00 PM,1317.95,1318.4,1317.75,1318,3384
9/14/2018 1:08:00 PM,1317.75,1317.85,1316.85,1317.85,1615
9/14/2018 1:07:00 PM,1317.35,1317.95,1316.5,1317.75,1621
9/14/2018 1:06:00 PM,1317.95,1318,1317.35,1317.35,2815
9/14/2018 1:05:00 PM,1316.65,1317.95,1316,1317.95,5294
9/14/2018 1:04:00 PM,1317.45,1317.5,1315,1317,9424
9/14/2018 1:03:00 PM,1318,1318,1316.5,1317.45,2539
9/14/2018 1:02:00 PM,1317.1,1318,1317.1,1318,3249
9/14/2018 1:01:00 PM,1316.25,1317.1,1316,1317.1,1466
9/14/2018 1:00:00 PM,1317.65,1317.9,1316.25,1316.25,2105
9/14/2018 12:59:00 PM,1317.6,1318,1316.4,1317.65,4438
9/14/2018 12:58:00 PM,1316.45,1318.25,1316.45,1317.6,1432
9/14/2018 12:57:00 PM,1316,1317.55,1316,1316.45,2720
9/14/2018 12:56:00 PM,1318,1318,1316.45,1316.45,3039
9/14/2018 12:55:00 PM,1317.75,1318.4,1316.8,1318,3497
9/14/2018 12:54:00 PM,1317,1318,1317,1317.75,3541
9/14/2018 12:53:00 PM,1316.5,1317.8,1316.1,1317,5157
9/14/2018 12:52:00 PM,1317.1,1317.1,1316.15,1316.5,1447
9/14/2018 12:51:00 PM,1317,1317.75,1316,1317.1,11591
9/14/2018 12:50:00 PM,1315.95,1316.8,1315.1,1316.8,3907
9/14/2018 12:49:00 PM,1315.5,1316,1314.85,1315.95,3304
9/14/2018 12:48:00 PM,1315.25,1315.5,1315,1315.5,2184
9/14/2018 12:47:00 PM,1314.9,1315.45,1314.25,1315.05,3519
9/14/2018 12:46:00 PM,1316.25,1316.25,1314.4,1314.9,7139
9/14/2018 12:45:00 PM,1315.5,1316.3,1315.5,1316.25,4114
9/14/2018 12:44:00 PM,1315.55,1316,1315,1315.5,2470
9/14/2018 12:43:00 PM,1315.95,1316.35,1315.5,1315.55,1893
9/14/2018 12:42:00 PM,1315.4,1315.95,1315.2,1315.95,1127
9/14/2018 12:41:00 PM,1315,1315.4,1315,1315.4,488
9/14/2018 12:40:00 PM,1316,1316.45,1315,1315,1294
9/14/2018 12:39:00 PM,1315.15,1316,1315,1316,2566
9/14/2018 12:38:00 PM,1315.3,1315.95,1315.15,1315.15,1666
9/14/2018 12:37:00 PM,1314.85,1316,1314.85,1315.3,2264
9/14/2018 12:36:00 PM,1316.05,1316.05,1314,1314.85,4929
9/14/2018 12:35:00 PM,1315.75,1317,1315.6,1316.05,3735
9/14/2018 12:34:00 PM,1315.05,1315.85,1314.05,1315.65,3550
9/14/2018 12:33:00 PM,1316,1316,1314.9,1315.05,3515
9/14/2018 12:32:00 PM,1315.6,1316.6,1315.3,1316,4214
9/14/2018 12:31:00 PM,1317.15,1317.5,1315.6,1315.6,30625
9/14/2018 12:30:00 PM,1314,1317.85,1314,1317.15,27297
9/14/2018 12:29:00 PM,1312.35,1315,1312.35,1314.5,7069
9/14/2018 12:28:00 PM,1313,1313.65,1311.2,1312.35,3134
9/14/2018 12:27:00 PM,1314.6,1314.6,1313,1313,2316
9/14/2018 12:26:00 PM,1315.4,1315.4,1314.6,1314.6,6646
9/14/2018 12:25:00 PM,1315.1,1315.5,1314.5,1315.45,9626
9/14/2018 12:24:00 PM,1315,1315.4,1315,1315,6592
9/14/2018 12:23:00 PM,1312.95,1315.55,1312.75,1315,9282
9/14/2018 12:22:00 PM,1312,1312.95,1311.95,1312.95,2137
9/14/2018 12:21:00 PM,1311.05,1312,1311,1311.95,2204
9/14/2018 12:20:00 PM,1312.4,1312.95,1310,1311.05,3383
9/14/2018 12:19:00 PM,1313.35,1313.95,1312,1312.4,2486
9/14/2018 12:18:00 PM,1314.15,1314.25,1313.25,1313.25,2570
9/14/2018 12:17:00 PM,1312.75,1314.95,1312.75,1314.15,11824
9/14/2018 12:16:00 PM,1312,1313.8,1311.75,1313.7,3150
9/14/2018 12:15:00 PM,1312,1312,1311,1311.35,7213
9/14/2018 12:14:00 PM,1311.4,1312,1311,1311.8,3481
9/14/2018 12:13:00 PM,1309.75,1311.4,1309.75,1311.4,4717
9/14/2018 12:12:00 PM,1309.15,1310,1308.4,1309.75,1934
9/14/2018 12:11:00 PM,1308.3,1310,1308.3,1309.5,3397
9/14/2018 12:10:00 PM,1310.6,1311,1308.3,1308.3,8840
9/14/2018 12:09:00 PM,1311.25,1312.6,1310,1310.6,3160
9/14/2018 12:08:00 PM,1312,1313.3,1311.25,1311.25,4321
9/14/2018 12:07:00 PM,1307.95,1313.7,1307.65,1312,15391
9/14/2018 12:06:00 PM,1308.3,1308.3,1307.65,1307.95,449
9/14/2018 12:05:00 PM,1308.8,1308.8,1308.3,1308.5,773
9/14/2018 12:04:00 PM,1307.55,1308.8,1307.5,1308.8,1275
9/14/2018 12:03:00 PM,1308.2,1308.2,1307.35,1307.55,1663
9/14/2018 12:02:00 PM,1309.5,1309.95,1308.2,1308.2,1770
9/14/2018 12:01:00 PM,1310.65,1310.65,1309,1309.5,4989
9/14/2018 12:00:00 PM,1310,1311,1310,1310.65,4387
9/14/2018 11:59:00 AM,1310.6,1311,1310,1310,7134
9/14/2018 11:58:00 AM,1310.7,1312,1310.15,1310.25,3980
9/14/2018 11:57:00 AM,1311,1311,1310,1310.75,7983
9/14/2018 11:56:00 AM,1306.05,1311,1306.05,1311,26753
9/14/2018 11:55:00 AM,1305.45,1306.05,1305,1306.05,1730
9/14/2018 11:54:00 AM,1305,1306,1305,1305.45,2861
9/14/2018 11:53:00 AM,1305.3,1305.6,1305,1305,567
9/14/2018 11:52:00 AM,1305,1305.9,1305,1305,1294
9/14/2018 11:51:00 AM,1305.8,1305.8,1305,1305,9277
9/14/2018 11:50:00 AM,1305,1305.8,1305,1305.8,3242
9/14/2018 11:49:00 AM,1305,1305.5,1304.9,1305,1347
9/14/2018 11:48:00 AM,1305,1305.5,1305,1305,5609
9/14/2018 11:47:00 AM,1305,1305,1305,1305,3823
9/14/2018 11:46:00 AM,1305.55,1305.9,1305,1305,2707
9/14/2018 11:45:00 AM,1305.6,1305.9,1304,1305.55,5631
9/14/2018 11:44:00 AM,1305.9,1305.9,1305,1305.6,1113
9/14/2018 11:43:00 AM,1305.35,1305.9,1305,1305.9,1397
9/14/2018 11:42:00 AM,1305,1305.9,1305,1305.35,1580
9/14/2018 11:41:00 AM,1303.8,1305.45,1303.7,1305,2231
9/14/2018 11:40:00 AM,1305,1305.6,1303.8,1303.8,3754
9/14/2018 11:39:00 AM,1305.8,1306,1305,1305,2397
9/14/2018 11:38:00 AM,1305.35,1305.9,1305.15,1305.8,526
9/14/2018 11:37:00 AM,1305.5,1306.4,1305.25,1305.35,1926
9/14/2018 11:36:00 AM,1305.45,1306,1305,1305.5,1458
9/14/2018 11:35:00 AM,1305.65,1306,1305,1305.1,1277
9/14/2018 11:34:00 AM,1306.6,1306.6,1305.65,1305.95,1628
9/14/2018 11:33:00 AM,1305,1306.6,1305,1306.6,1545
9/14/2018 11:32:00 AM,1306,1306,1305,1305,1595
9/14/2018 11:31:00 AM,1306.25,1306.6,1305.1,1305.1,2388
9/14/2018 11:30:00 AM,1306.25,1306.7,1305.85,1306.25,5168
9/14/2018 11:29:00 AM,1306.75,1306.8,1306.25,1306.25,724
9/14/2018 11:28:00 AM,1306,1307,1305.35,1306.75,1157
9/14/2018 11:27:00 AM,1306.4,1306.85,1306,1306,700
9/14/2018 11:26:00 AM,1305.65,1306.5,1305.65,1306.4,1450
9/14/2018 11:25:00 AM,1306.1,1306.45,1305.65,1305.65,304
9/14/2018 11:24:00 AM,1306.5,1306.65,1305.8,1306.1,1904
9/14/2018 11:23:00 AM,1306.6,1306.6,1306,1306.5,214
9/14/2018 11:22:00 AM,1305.25,1306.55,1305.25,1306,2017
9/14/2018 11:21:00 AM,1305,1305.95,1305,1305.25,1357
9/14/2018 11:20:00 AM,1305.6,1305.6,1305,1305.45,3342
9/14/2018 11:19:00 AM,1305.05,1305.9,1305.05,1305.6,497
9/14/2018 11:18:00 AM,1305.2,1305.65,1305.05,1305.2,442
9/14/2018 11:17:00 AM,1305.7,1305.7,1305,1305.2,1560
9/14/2018 11:16:00 AM,1306.4,1306.65,1305.7,1305.7,368
9/14/2018 11:15:00 AM,1306.4,1307,1305.5,1306.7,1529
9/14/2018 11:14:00 AM,1304.25,1306.4,1303.75,1306.4,2761
9/14/2018 11:13:00 AM,1306.05,1306.05,1303.1,1304.65,8929
9/14/2018 11:12:00 AM,1305.8,1306.1,1305,1306.05,3338
9/14/2018 11:11:00 AM,1306.8,1306.8,1305.7,1305.8,711
9/14/2018 11:10:00 AM,1305.95,1306.75,1305.6,1306.75,2688
9/14/2018 11:09:00 AM,1305.1,1306.75,1305,1305.2,2131
9/14/2018 11:08:00 AM,1305.1,1305.45,1304.75,1305,4228
9/14/2018 11:07:00 AM,1306.65,1306.7,1305,1305.1,3880
9/14/2018 11:06:00 AM,1304,1306.95,1304,1306.45,11786
9/14/2018 11:05:00 AM,1303,1304.15,1303,1304,4495
9/14/2018 11:04:00 AM,1300.45,1303.15,1300.05,1303,7745
9/14/2018 11:03:00 AM,1299.6,1300.45,1299.6,1300,282
9/14/2018 11:02:00 AM,1300.2,1300.2,1299.65,1299.65,352
9/14/2018 11:01:00 AM,1299.3,1300.8,1299.2,1300.2,3269
9/14/2018 11:00:00 AM,1299.15,1299.65,1299.15,1299.3,492
9/14/2018 10:59:00 AM,1300,1300,1299.15,1299.15,554
9/14/2018 10:58:00 AM,1301,1301,1299.2,1300,2805
9/14/2018 10:57:00 AM,1301.5,1301.5,1300.3,1301,697
9/14/2018 10:56:00 AM,1301.55,1301.55,1301,1301.5,761
9/14/2018 10:55:00 AM,1302,1302.25,1301.4,1301.55,1312
9/14/2018 10:54:00 AM,1301,1302.05,1301,1302,1647
9/14/2018 10:53:00 AM,1301.7,1302.4,1301,1301,2508
9/14/2018 10:52:00 AM,1300.5,1301.7,1300.15,1301.7,3452
9/14/2018 10:51:00 AM,1301.5,1302,1300.1,1300.5,2540
9/14/2018 10:50:00 AM,1302.5,1303,1301.5,1301.5,1512
9/14/2018 10:49:00 AM,1304.25,1305,1302.1,1302.5,7619
9/14/2018 10:48:00 AM,1294.7,1304.6,1294,1304.25,19839
9/14/2018 10:47:00 AM,1296,1296,1294.7,1294.7,1156
9/14/2018 10:46:00 AM,1296.65,1296.65,1295.05,1296,1230
9/14/2018 10:45:00 AM,1296.65,1297.35,1296.65,1296.65,312
9/14/2018 10:44:00 AM,1297.45,1297.45,1296.65,1296.65,233
9/14/2018 10:43:00 AM,1296.6,1298.4,1296.6,1297.45,4342
9/14/2018 10:42:00 AM,1295.05,1296.6,1295.05,1296.6,755
9/14/2018 10:41:00 AM,1293.5,1295.15,1293.5,1295.05,1090
9/14/2018 10:40:00 AM,1295.15,1295.15,1293.5,1293.5,1793
9/14/2018 10:39:00 AM,1295,1295.55,1294.5,1295.55,4452
9/14/2018 10:38:00 AM,1297.35,1297.35,1295,1295,3253
9/14/2018 10:37:00 AM,1297.9,1297.9,1296.8,1297.35,437
9/14/2018 10:36:00 AM,1297.95,1298,1296.55,1297.9,897
9/14/2018 10:35:00 AM,1297.15,1297.95,1296.75,1297.95,228
9/14/2018 10:34:00 AM,1297.5,1297.5,1296.25,1297.15,1483
9/14/2018 10:33:00 AM,1298.7,1299.4,1297.45,1297.5,5729
9/14/2018 10:32:00 AM,1297.25,1298.95,1296.8,1298.7,4842
9/14/2018 10:31:00 AM,1297.3,1298,1297,1297.25,1043
9/14/2018 10:30:00 AM,1298.1,1299.05,1296.8,1297.3,2782
9/14/2018 10:29:00 AM,1296.55,1298,1296,1298,2508
9/14/2018 10:28:00 AM,1296.2,1296.9,1295.25,1296.55,1385
9/14/2018 10:27:00 AM,1296.05,1297,1295.2,1296.2,3000
9/14/2018 10:26:00 AM,1297.1,1297.75,1296.1,1296.1,2660
9/14/2018 10:25:00 AM,1297,1297.95,1297,1297.1,557
9/14/2018 10:24:00 AM,1297,1298,1296.5,1297.25,532
9/14/2018 10:23:00 AM,1296.2,1297,1296.2,1297,595
9/14/2018 10:22:00 AM,1298.05,1298.4,1296.1,1296.2,2060
9/14/2018 10:21:00 AM,1300.1,1301,1298.6,1298.6,1875
9/14/2018 10:20:00 AM,1301,1301,1299.5,1300.1,1905
9/14/2018 10:19:00 AM,1299.6,1301,1299.1,1301,4199
9/14/2018 10:18:00 AM,1301,1301,1299.6,1299.6,1872
9/14/2018 10:17:00 AM,1299.9,1301.5,1299,1301,7350
9/14/2018 10:16:00 AM,1298,1300,1297,1299.9,3934
9/14/2018 10:15:00 AM,1296.65,1298.8,1296.5,1298,2259
9/14/2018 10:14:00 AM,1296.3,1297.7,1296.3,1296.65,1945
9/14/2018 10:13:00 AM,1295.75,1297,1294.2,1296.3,2158
9/14/2018 10:12:00 AM,1295.45,1296.25,1294.2,1295.75,1533
9/14/2018 10:11:00 AM,1296.35,1297,1294.1,1295.45,8527
9/14/2018 10:10:00 AM,1296.75,1297,1295.25,1297,3464
9/14/2018 10:09:00 AM,1299,1299,1295.5,1296.75,4808
9/14/2018 10:08:00 AM,1299,1299.95,1298.3,1298.3,4309
9/14/2018 10:07:00 AM,1299,1299.9,1298.65,1299,6502
9/14/2018 10:06:00 AM,1297,1299,1297,1298.55,9558
9/14/2018 10:05:00 AM,1296.2,1297.8,1296.2,1297,6580
9/14/2018 10:04:00 AM,1294.5,1296.6,1294.3,1296.4,5742
9/14/2018 10:03:00 AM,1294.7,1295.2,1293.2,1294.5,2539
9/14/2018 10:02:00 AM,1294,1296,1293,1294.7,6804
9/14/2018 10:01:00 AM,1293.1,1295.35,1293,1294,7612
9/14/2018 10:00:00 AM,1290.1,1293.95,1290.1,1293.1,10468
9/14/2018 9:59:00 AM,1287.55,1290.75,1287.55,1290.1,6345
9/14/2018 9:58:00 AM,1286.65,1287.55,1286,1287.55,585
9/14/2018 9:57:00 AM,1284.8,1287.85,1284.7,1287.5,3151
9/14/2018 9:56:00 AM,1282.9,1284.8,1282.05,1284.8,546
9/14/2018 9:55:00 AM,1283.3,1283.4,1282,1282.9,2147
9/14/2018 9:54:00 AM,1284.3,1284.45,1283.3,1283.3,286
9/14/2018 9:53:00 AM,1283.85,1285,1283.45,1284.3,738
9/14/2018 9:52:00 AM,1283,1284.55,1283,1283.85,636
9/14/2018 9:51:00 AM,1285,1285.9,1282.1,1283,2363
9/14/2018 9:50:00 AM,1285.25,1287.2,1284,1285,879
9/14/2018 9:49:00 AM,1284.25,1287.7,1284,1285.25,2298
9/14/2018 9:48:00 AM,1287,1287.75,1285.1,1285.1,2175
9/14/2018 9:47:00 AM,1286,1288,1285.3,1287,4769
9/14/2018 9:46:00 AM,1286.7,1288,1284.1,1286,2430
9/14/2018 9:45:00 AM,1285.05,1289.5,1284.25,1286.7,7068
9/14/2018 9:44:00 AM,1284.4,1285.5,1282.8,1285.05,1904
9/14/2018 9:43:00 AM,1283.75,1284.5,1280.95,1284.4,1984
9/14/2018 9:42:00 AM,1283.25,1283.4,1282.5,1283.35,577
9/14/2018 9:41:00 AM,1283.75,1284.7,1280.8,1283.25,1380
9/14/2018 9:40:00 AM,1280,1283.75,1278.1,1283.75,823
9/14/2018 9:39:00 AM,1281.7,1281.7,1279.1,1280,6219
9/14/2018 9:38:00 AM,1285,1285,1281,1281.7,880
9/14/2018 9:37:00 AM,1285.85,1287,1283.05,1285,1872
9/14/2018 9:36:00 AM,1282.1,1286.75,1281.6,1286.75,2817
9/14/2018 9:35:00 AM,1282.7,1282.75,1280,1282.1,2089
9/14/2018 9:34:00 AM,1278.75,1284,1278.75,1282.7,897
9/14/2018 9:33:00 AM,1277.8,1279.15,1277,1278.75,3289
9/14/2018 9:32:00 AM,1277.8,1280,1277.3,1277.8,1843
9/14/2018 9:31:00 AM,1283.45,1283.45,1276.3,1277.8,9035
9/14/2018 9:30:00 AM,1283.8,1284,1283.45,1283.45,254
9/14/2018 9:29:00 AM,1282.6,1284.9,1282.3,1283.8,1068
9/14/2018 9:28:00 AM,1282.8,1284.4,1282.1,1282.6,1558
9/14/2018 9:27:00 AM,1284.5,1286.55,1282.5,1282.8,8139
9/14/2018 9:26:00 AM,1285.55,1287.4,1284.5,1284.5,5519
9/14/2018 9:25:00 AM,1283.8,1285.7,1283.8,1285.55,3956
9/14/2018 9:24:00 AM,1285.5,1287.75,1283.8,1283.8,2452
9/14/2018 9:23:00 AM,1283,1285.5,1282.8,1285.5,1774
9/14/2018 9:22:00 AM,1283.2,1283.85,1281.75,1283,2175
9/14/2018 9:21:00 AM,1280.15,1283.7,1280.15,1283.2,3288
9/14/2018 9:20:00 AM,1281.2,1284.3,1278,1280.15,5255
9/14/2018 9:19:00 AM,1282.6,1283.6,1280,1281.2,3088
9/14/2018 9:18:00 AM,1282.8,1284,1280,1282.6,3073
9/14/2018 9:17:00 AM,1284.65,1284.7,1282,1282.25,2140
9/14/2018 9:16:00 AM,1283.35,1284.6,1281.95,1284,2987
9/14/2018 9:15:00 AM,1280.85,1288.05,1278.05,1283.35,10682
