Date,LT-EQ O,LT-EQ H,LT-EQ L,LT-EQ C,LT-EQ V
9/14/2018 3:29:00 PM,1357.75,1358,1356.4,1356.85,6447
9/14/2018 3:28:00 PM,1356.35,1357.5,1356.25,1357,4748
9/14/2018 3:27:00 PM,1357.7,1358,1356,1356.3,8148
9/14/2018 3:26:00 PM,1358.45,1358.45,1357.85,1357.95,6501
9/14/2018 3:25:00 PM,1358.7,1358.7,1358,1358.35,6396
9/14/2018 3:24:00 PM,1358.3,1359,1358.3,1358.8,6799
9/14/2018 3:23:00 PM,1358.25,1358.5,1357.8,1358.3,14014
9/14/2018 3:22:00 PM,1358.05,1358.2,1357.85,1358,11470
9/14/2018 3:21:00 PM,1357.45,1358.25,1357.45,1358.05,12164
9/14/2018 3:20:00 PM,1358.25,1358.25,1356.65,1357.6,13753
9/14/2018 3:19:00 PM,1357.85,1358.5,1357.8,1358.2,8810
9/14/2018 3:18:00 PM,1357.65,1358.4,1357.6,1357.85,6978
9/14/2018 3:17:00 PM,1358.9,1358.9,1357.6,1357.65,7426
9/14/2018 3:16:00 PM,1358.25,1358.75,1358,1358.65,7751
9/14/2018 3:15:00 PM,1359.5,1359.55,1358.05,1358.7,16084
9/14/2018 3:14:00 PM,1359.95,1360,1359.55,1359.95,8521
9/14/2018 3:13:00 PM,1360,1361.1,1359.9,1360,15778
9/14/2018 3:12:00 PM,1359.45,1360.1,1359.45,1359.95,14977
9/14/2018 3:11:00 PM,1359.95,1360.25,1358.75,1359.55,9231
9/14/2018 3:10:00 PM,1359.3,1360,1359,1360,13188
9/14/2018 3:09:00 PM,1359.5,1360,1359.2,1359.3,7021
9/14/2018 3:08:00 PM,1358.85,1359.6,1358.45,1359.2,6983
9/14/2018 3:07:00 PM,1359.1,1359.2,1358.5,1358.85,6236
9/14/2018 3:06:00 PM,1358.4,1359.5,1358.4,1359.2,4884
9/14/2018 3:05:00 PM,1358.9,1359.55,1358.1,1358.4,6543
9/14/2018 3:04:00 PM,1359.3,1359.8,1358.95,1358.95,6849
9/14/2018 3:03:00 PM,1359.45,1360,1358.9,1359.3,7711
9/14/2018 3:02:00 PM,1359.85,1360,1358.8,1359.7,7822
9/14/2018 3:01:00 PM,1359,1360,1359,1359.9,20239
9/14/2018 3:00:00 PM,1359,1359.3,1357.55,1359.15,9490
9/14/2018 2:59:00 PM,1359,1359,1358.15,1359,3138
9/14/2018 2:58:00 PM,1358.75,1359.2,1358.5,1359,4183
9/14/2018 2:57:00 PM,1358.5,1359,1358.5,1358.75,6043
9/14/2018 2:56:00 PM,1358.45,1358.75,1358.45,1358.5,7484
9/14/2018 2:55:00 PM,1358.5,1358.5,1358.45,1358.45,3338
9/14/2018 2:54:00 PM,1358.85,1358.9,1358.5,1358.65,2141
9/14/2018 2:53:00 PM,1358.5,1358.9,1358.5,1358.9,3060
9/14/2018 2:52:00 PM,1358.65,1358.7,1358.45,1358.5,1445
9/14/2018 2:51:00 PM,1358.7,1358.8,1358.65,1358.65,1423
9/14/2018 2:50:00 PM,1358.45,1358.9,1358.45,1358.7,1471
9/14/2018 2:49:00 PM,1358.45,1358.9,1358.45,1358.5,2498
9/14/2018 2:48:00 PM,1358.8,1358.9,1358.45,1358.45,2671
9/14/2018 2:47:00 PM,1358.15,1358.9,1358.15,1358.9,2712
9/14/2018 2:46:00 PM,1357.85,1359,1357.55,1358.7,2127
9/14/2018 2:45:00 PM,1357.1,1359,1357.1,1357.85,4879
9/14/2018 2:44:00 PM,1356.65,1357.6,1356.6,1357.1,2012
9/14/2018 2:43:00 PM,1357.35,1357.6,1356.85,1356.85,1877
9/14/2018 2:42:00 PM,1357.2,1357.6,1357.2,1357.35,2127
9/14/2018 2:41:00 PM,1357.3,1357.45,1357.05,1357.2,1087
9/14/2018 2:40:00 PM,1356.7,1357.25,1356.6,1357.25,1212
9/14/2018 2:39:00 PM,1356.5,1357,1356.5,1356.7,874
9/14/2018 2:38:00 PM,1356.65,1357.2,1356.35,1356.5,2197
9/14/2018 2:37:00 PM,1356.1,1356.8,1356.1,1356.6,1171
9/14/2018 2:36:00 PM,1357.05,1357.1,1356,1356.1,2754
9/14/2018 2:35:00 PM,1356.55,1357.4,1356.55,1357.05,2110
9/14/2018 2:34:00 PM,1357.1,1357.1,1356,1356.85,2886
9/14/2018 2:33:00 PM,1357.6,1357.6,1357.1,1357.1,3933
9/14/2018 2:32:00 PM,1357.8,1358.2,1357.4,1357.4,1973
9/14/2018 2:31:00 PM,1357.8,1358,1357.8,1357.8,1193
9/14/2018 2:30:00 PM,1357.75,1358.4,1357.75,1357.8,1476
9/14/2018 2:29:00 PM,1358,1358.7,1357.7,1357.75,2321
9/14/2018 2:28:00 PM,1358.3,1358.6,1357.4,1358.1,4488
9/14/2018 2:27:00 PM,1357.9,1358.6,1357.9,1358.3,1568
9/14/2018 2:26:00 PM,1357.45,1358,1357.45,1358,1358
9/14/2018 2:25:00 PM,1357.4,1357.8,1357.4,1357.8,1340
9/14/2018 2:24:00 PM,1357.95,1358.25,1357.05,1357.4,1622
9/14/2018 2:23:00 PM,1357.9,1358.1,1357.8,1357.95,2276
9/14/2018 2:22:00 PM,1358.25,1358.35,1357.8,1357.9,2431
9/14/2018 2:21:00 PM,1359.3,1359.45,1357.2,1358.25,4398
9/14/2018 2:20:00 PM,1359.5,1359.5,1359.2,1359.5,2167
9/14/2018 2:19:00 PM,1360,1360,1359.1,1359.45,1384
9/14/2018 2:18:00 PM,1359.7,1360,1359.05,1359.95,3035
9/14/2018 2:17:00 PM,1360,1360.15,1359.6,1359.7,2401
9/14/2018 2:16:00 PM,1360,1360,1359.55,1360,1424
9/14/2018 2:15:00 PM,1360,1360.95,1359.7,1359.75,13494
9/14/2018 2:14:00 PM,1359.75,1360,1359.55,1360,3322
9/14/2018 2:13:00 PM,1359.3,1359.8,1359.3,1359.55,1640
9/14/2018 2:12:00 PM,1359.5,1359.5,1359.1,1359.3,1836
9/14/2018 2:11:00 PM,1359.5,1359.65,1359.05,1359.1,1615
9/14/2018 2:10:00 PM,1359,1359.8,1359,1359.5,2298
9/14/2018 2:09:00 PM,1359.5,1359.65,1359,1359,1733
9/14/2018 2:08:00 PM,1359.95,1359.95,1358.65,1359.05,2622
9/14/2018 2:07:00 PM,1359.65,1360,1359.6,1359.9,3222
9/14/2018 2:06:00 PM,1359,1359.95,1359,1359.6,3873
9/14/2018 2:05:00 PM,1359.6,1359.9,1358.8,1358.8,2598
9/14/2018 2:04:00 PM,1359.95,1360,1359.5,1359.6,2221
9/14/2018 2:03:00 PM,1359.8,1360,1359.8,1359.95,1217
9/14/2018 2:02:00 PM,1359.45,1359.95,1359.45,1359.95,1435
9/14/2018 2:01:00 PM,1358.8,1359.7,1358.8,1359.45,1384
9/14/2018 2:00:00 PM,1359.8,1359.95,1358.8,1358.8,2716
9/14/2018 1:59:00 PM,1359.55,1360,1359.55,1359.9,1451
9/14/2018 1:58:00 PM,1359.9,1360,1359.5,1359.8,2902
9/14/2018 1:57:00 PM,1359.8,1360,1359.4,1359.85,1605
9/14/2018 1:56:00 PM,1359.8,1360,1359.8,1359.95,1482
9/14/2018 1:55:00 PM,1359.6,1360,1359,1359.8,12471
9/14/2018 1:54:00 PM,1359.2,1359.7,1359,1359.6,1633
9/14/2018 1:53:00 PM,1359.2,1359.4,1359,1359.15,1574
9/14/2018 1:52:00 PM,1359.5,1359.65,1358.75,1359.3,2348
9/14/2018 1:51:00 PM,1359.35,1359.65,1359,1359.65,1408
9/14/2018 1:50:00 PM,1358.6,1359.55,1358.6,1359.5,1139
9/14/2018 1:49:00 PM,1359.65,1359.9,1358.85,1358.95,1694
9/14/2018 1:48:00 PM,1358.9,1359.8,1358.9,1359.65,1794
9/14/2018 1:47:00 PM,1359.15,1359.15,1358.05,1358.65,2575
9/14/2018 1:46:00 PM,1359.05,1359.6,1359,1359,2153
9/14/2018 1:45:00 PM,1359.7,1359.8,1359,1359.1,3553
9/14/2018 1:44:00 PM,1359.75,1359.75,1359.05,1359.7,1484
9/14/2018 1:43:00 PM,1359.5,1359.9,1359.05,1359.75,4837
9/14/2018 1:42:00 PM,1359.75,1359.9,1359.35,1359.5,1014
9/14/2018 1:41:00 PM,1359.75,1359.9,1359.25,1359.35,1836
9/14/2018 1:40:00 PM,1359.5,1360,1359.5,1360,15152
9/14/2018 1:39:00 PM,1359.4,1359.9,1359.35,1359.5,1011
9/14/2018 1:38:00 PM,1359.65,1359.9,1359.25,1359.4,2059
9/14/2018 1:37:00 PM,1359.7,1359.85,1359.55,1359.65,1673
9/14/2018 1:36:00 PM,1359.4,1359.8,1359.1,1359.4,1822
9/14/2018 1:35:00 PM,1358.95,1359.5,1358.8,1359.4,2121
9/14/2018 1:34:00 PM,1359,1359.3,1358.8,1358.8,1112
9/14/2018 1:33:00 PM,1359.4,1359.4,1358.8,1358.85,1307
9/14/2018 1:32:00 PM,1358.65,1359.6,1358.65,1359.25,1610
9/14/2018 1:31:00 PM,1358.75,1358.8,1358.45,1358.65,1277
9/14/2018 1:30:00 PM,1358.75,1359,1358.35,1358.7,1351
9/14/2018 1:29:00 PM,1359.25,1359.5,1358.35,1358.35,914
9/14/2018 1:28:00 PM,1358.55,1359.55,1358.5,1359.05,1574
9/14/2018 1:27:00 PM,1359.7,1359.85,1358.15,1358.15,2743
9/14/2018 1:26:00 PM,1359.15,1359.85,1359.15,1359.65,1915
9/14/2018 1:25:00 PM,1359.8,1359.85,1359.15,1359.15,1216
9/14/2018 1:24:00 PM,1359.25,1359.85,1359.2,1359.2,2869
9/14/2018 1:23:00 PM,1359.05,1359.5,1359.05,1359.25,1688
9/14/2018 1:22:00 PM,1358.05,1359.35,1358.05,1359.05,2132
9/14/2018 1:21:00 PM,1359,1359.5,1358.6,1358.6,1980
9/14/2018 1:20:00 PM,1359,1359.9,1359,1359,2679
9/14/2018 1:19:00 PM,1359.5,1359.9,1359,1359.55,3210
9/14/2018 1:18:00 PM,1358.65,1359.2,1358.65,1358.8,1687
9/14/2018 1:17:00 PM,1359,1359.05,1358.05,1358.65,3318
9/14/2018 1:16:00 PM,1358.25,1359,1358.05,1358.95,8107
9/14/2018 1:15:00 PM,1357.9,1358.5,1357.9,1358.3,10035
9/14/2018 1:14:00 PM,1357.85,1357.95,1357.85,1357.9,930
9/14/2018 1:13:00 PM,1357.75,1358,1357.55,1357.85,1647
9/14/2018 1:12:00 PM,1358.05,1358.45,1357.55,1357.75,3385
9/14/2018 1:11:00 PM,1357.6,1358.45,1357.4,1358,1607
9/14/2018 1:10:00 PM,1358.5,1358.5,1357,1357.6,4283
9/14/2018 1:09:00 PM,1357.95,1358.5,1357.7,1358.4,2830
9/14/2018 1:08:00 PM,1356.9,1357.75,1356.9,1357.7,920
9/14/2018 1:07:00 PM,1358,1358,1356.75,1356.9,1917
9/14/2018 1:06:00 PM,1357.65,1358,1357.2,1357.95,2390
9/14/2018 1:05:00 PM,1357.85,1358.05,1357.05,1357.1,5160
9/14/2018 1:04:00 PM,1357,1357.85,1356.95,1357.65,1701
9/14/2018 1:03:00 PM,1357.5,1358,1356.8,1356.8,5042
9/14/2018 1:02:00 PM,1357.5,1357.7,1357.25,1357.3,1392
9/14/2018 1:01:00 PM,1357.75,1357.9,1357.05,1357.25,2743
9/14/2018 1:00:00 PM,1357.35,1358,1357.05,1357.3,2547
9/14/2018 12:59:00 PM,1357.8,1357.85,1357,1357.35,1886
9/14/2018 12:58:00 PM,1357.95,1358.15,1357.5,1357.5,7664
9/14/2018 12:57:00 PM,1357.9,1358,1357.55,1357.9,1575
9/14/2018 12:56:00 PM,1357,1357.9,1357,1357.5,2747
9/14/2018 12:55:00 PM,1357.25,1357.65,1357,1357.05,3378
9/14/2018 12:54:00 PM,1357.1,1357.45,1357,1357.1,4352
9/14/2018 12:53:00 PM,1357.2,1357.6,1356.3,1357.1,7227
9/14/2018 12:52:00 PM,1356.7,1356.95,1356,1356.9,2846
9/14/2018 12:51:00 PM,1356.85,1357.1,1356,1356,5412
9/14/2018 12:50:00 PM,1356.15,1356.85,1356,1356.65,1499
9/14/2018 12:49:00 PM,1357.25,1357.25,1355.55,1355.55,6631
9/14/2018 12:48:00 PM,1357.5,1357.5,1356.55,1356.9,2769
9/14/2018 12:47:00 PM,1357.55,1357.85,1357.05,1357.15,3143
9/14/2018 12:46:00 PM,1357.05,1357.5,1356.8,1357.05,1546
9/14/2018 12:45:00 PM,1356.3,1357.2,1356.2,1356.85,3813
9/14/2018 12:44:00 PM,1356.8,1356.8,1356.2,1356.3,3166
9/14/2018 12:43:00 PM,1357.4,1357.5,1356.3,1356.3,2439
9/14/2018 12:42:00 PM,1357.55,1357.6,1356.6,1357.3,4165
9/14/2018 12:41:00 PM,1357,1357.6,1356.85,1357.3,4649
9/14/2018 12:40:00 PM,1356.9,1357.25,1356.85,1356.85,1459
9/14/2018 12:39:00 PM,1356.6,1357,1356.25,1356.5,2265
9/14/2018 12:38:00 PM,1357.6,1357.85,1356.2,1356.3,2962
9/14/2018 12:37:00 PM,1357.25,1357.75,1357.2,1357.6,1967
9/14/2018 12:36:00 PM,1356.8,1357.6,1356.8,1357.2,1351
9/14/2018 12:35:00 PM,1357.5,1357.9,1356.8,1356.8,1471
9/14/2018 12:34:00 PM,1357.5,1358,1356.9,1357,2100
9/14/2018 12:33:00 PM,1358.3,1358.75,1357.35,1358,1635
9/14/2018 12:32:00 PM,1358.25,1358.65,1358.25,1358.3,1977
9/14/2018 12:31:00 PM,1357.8,1358.3,1357,1357.4,1923
9/14/2018 12:30:00 PM,1358.25,1358.6,1357.6,1357.65,2057
9/14/2018 12:29:00 PM,1358.05,1358.4,1357.6,1358.4,2866
9/14/2018 12:28:00 PM,1358.75,1359.65,1358.05,1358.05,6769
9/14/2018 12:27:00 PM,1357.65,1358.9,1357.65,1358.75,6679
9/14/2018 12:26:00 PM,1357,1358,1356.9,1357.65,5311
9/14/2018 12:25:00 PM,1356.3,1357.35,1356.3,1357,5686
9/14/2018 12:24:00 PM,1356.8,1357.5,1356.05,1356.3,5316
9/14/2018 12:23:00 PM,1356.8,1356.85,1356.35,1356.7,2496
